epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.743,2.63684,3.24442,1.29458,0.01405,0.11083,0.02174,0.0122,2.38087,3.12976,1.11689,0.0677333,0.000325926,0.000325926
2,257.755,2.25897,2.40312,1.14015,0.12516,0.13387,0.08356,0.04616,2.33773,2.67041,1.07807,0.0347333,0.000659241,0.000659241
3,392.149,2.18642,2.26922,1.11348,0.18068,0.15883,0.09928,0.05149,2.07997,2.98518,1.06989,0.00173323,0.000992485,0.000992485
4,511.429,2.19075,2.21901,1.09153,0.22882,0.20876,0.17484,0.09648,2.00797,2.31693,1.05432,0.000999756,0.000999756,0.000999756
5,775.121,2.14093,2.13445,1.06828,0.17927,0.21885,0.13538,0.07275,2.14586,2.54952,1.06955,0.000999566,0.000999566,0.000999566
6,875.341,2.04324,2.0666,1.07105,0.18958,0.26773,0.17798,0.10392,1.89872,2.1482,1.03049,0.000999322,0.000999322,0.000999322
7,1088.03,2.08974,2.04438,1.05071,0.21211,0.26893,0.19729,0.10504,1.98241,2.4248,1.04378,0.000999023,0.000999023,0.000999023
8,1240.16,2.091,2.05973,1.05525,0.24143,0.27388,0.21253,0.11486,2.00349,2.05074,1.05678,0.000998671,0.000998671,0.000998671
9,1336.34,2.01265,1.97048,1.04565,0.29099,0.23131,0.22081,0.11813,2.15985,1.94696,1.07097,0.000998264,0.000998264,0.000998264
10,1437.58,2.0166,1.90835,1.04681,0.21189,0.2982,0.19938,0.11894,1.79005,1.99729,1.0068,0.000997803,0.000997803,0.000997803
11,1626.46,1.96712,1.92388,1.05494,0.25967,0.29842,0.24563,0.13378,1.80244,1.85686,1.01413,0.000997288,0.000997288,0.000997288
12,1736.28,1.9811,1.8319,1.03915,0.32985,0.2837,0.26671,0.14413,1.84993,1.81636,1.02784,0.00099672,0.00099672,0.00099672
13,1867.74,1.93101,1.80337,1.03839,0.25405,0.3301,0.27067,0.15123,1.88408,1.87316,1.03069,0.000996097,0.000996097,0.000996097
14,2014.27,1.9727,1.8651,1.04058,0.2217,0.29436,0.2081,0.11442,1.85178,1.94935,1.02548,0.00099542,0.00099542,0.00099542
15,2152.99,1.945,1.81548,1.04529,0.32524,0.33669,0.28133,0.14344,1.82685,1.79197,1.03356,0.00099469,0.00099469,0.00099469
16,2273.77,1.9341,1.81766,1.03273,0.25612,0.29075,0.22725,0.12268,1.79396,1.95742,1.02804,0.000993906,0.000993906,0.000993906
17,2437.03,1.88264,1.73545,1.02694,0.34946,0.33614,0.32115,0.17478,1.75542,1.68977,1.01469,0.000993068,0.000993068,0.000993068
