                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0847,                  8.542,                 2.3773,                      0,                      0,                      0,                      0,                   4.67,                    inf,                 2.1878,              0.0003621,              0.0003621,              0.0003621
                      2,                 4.4155,                 7.4599,                 2.0856,                0.01592,                0.06294,                0.02368,                0.01067,                 4.3197,                 7.8316,                 2.0682,             0.00072519,             0.00072519,             0.00072519
                      3,                 4.6962,                 6.4898,                 2.0286,                0.08385,                 0.1271,                0.06517,                0.02983,                 4.7696,                   6.58,                 2.0684,              0.0010809,              0.0010809,              0.0010809
                      4,                 4.5573,                 5.6246,                  2.014,                0.13877,                0.15799,                0.10129,                0.05364,                  4.161,                 6.9864,                 1.9515,               0.001078,               0.001078,               0.001078
                      5,                 4.4532,                 5.1822,                 1.9735,                0.17185,                0.17826,                 0.1212,                0.06158,                 4.0642,                 5.4603,                 1.9374,               0.001067,               0.001067,               0.001067
                      6,                 4.3011,                 4.6532,                 1.9639,                0.14713,                0.18115,                0.10766,                0.05424,                 4.0292,                 7.8664,                 1.9627,               0.001056,               0.001056,               0.001056
                      7,                 4.2126,                 4.2592,                 1.9535,                 0.2041,                0.28165,                0.17882,                0.09701,                 3.9501,                 4.3311,                 1.9591,               0.001045,               0.001045,               0.001045
                      8,                 4.0597,                 4.0017,                 1.9359,                0.22342,                   0.27,                0.17927,                0.10701,                 3.9392,                 5.3402,                 1.9482,               0.001034,               0.001034,               0.001034
                      9,                 4.0691,                 3.9447,                 1.9157,                0.24625,                0.30441,                0.21838,                0.12705,                 3.7131,                  3.736,                 1.9127,               0.001023,               0.001023,               0.001023
                     10,                  3.937,                 3.7138,                 1.9166,                 0.2704,                0.28014,                0.21359,                0.11922,                 3.6391,                 3.6715,                 1.9255,               0.001012,               0.001012,               0.001012
                     11,                 3.9579,                 3.4991,                 1.9169,                0.26738,                0.32132,                 0.2452,                0.14022,                 3.7355,                 3.5888,                 1.9479,               0.001001,               0.001001,               0.001001
                     12,                 3.9715,                 3.4946,                  1.895,                0.29399,                0.31068,                0.26199,                0.14542,                 3.5607,                 3.5322,                 1.9227,             0.00099001,             0.00099001,             0.00099001
                     13,                 3.7931,                 3.4301,                 1.8975,                0.33031,                0.28615,                0.24654,                 0.1392,                 3.7194,                 3.6065,                 1.9506,             0.00097901,             0.00097901,             0.00097901
                     14,                 3.8506,                 3.3462,                  1.896,                  0.327,                0.31016,                0.27025,                0.15238,                 3.6907,                 3.3828,                   1.95,             0.00096801,             0.00096801,             0.00096801
                     15,                 3.8692,                  3.346,                 1.9047,                0.33029,                0.34508,                0.29314,                0.16166,                 3.5842,                 3.2581,                 1.9401,             0.00095702,             0.00095702,             0.00095702
                     16,                 3.7431,                 3.4349,                 1.8755,                0.29651,                0.32862,                0.26287,                0.14888,                 3.6376,                 3.4102,                 1.9546,             0.00094602,             0.00094602,             0.00094602
                     17,                 3.7914,                 3.2647,                 1.8929,                0.26652,                0.29848,                0.21124,                0.11073,                 3.6751,                 3.8029,                   1.96,             0.00093502,             0.00093502,             0.00093502
                     18,                 3.7878,                  3.254,                 1.8811,                0.30718,                0.35435,                0.28535,                0.16143,                   3.53,                 3.3201,                 1.9394,             0.00092402,             0.00092402,             0.00092402
                     19,                 3.7732,                 3.2466,                 1.8653,                 0.3201,                0.32467,                 0.2694,                0.15553,                 3.5054,                 3.3649,                 1.9423,             0.00091302,             0.00091302,             0.00091302
                     20,                 3.7661,                 3.1957,                 1.8777,                0.33704,                0.34605,                0.29287,                0.16163,                 3.4046,                 3.2167,                 1.9182,             0.00090202,             0.00090202,             0.00090202
                     21,                 3.6707,                  3.127,                 1.8663,                0.30582,                0.36404,                0.27967,                0.15483,                 3.5396,                  3.409,                 1.9447,             0.00089102,             0.00089102,             0.00089102
                     22,                 3.7189,                 3.1121,                 1.8642,                0.32668,                0.37521,                0.29598,                0.16713,                 3.4777,                 3.3136,                 1.9332,             0.00088002,             0.00088002,             0.00088002
                     23,                 3.6593,                 3.1019,                 1.8707,                0.30672,                0.33161,                0.28216,                0.16322,                  3.521,                 3.4284,                 1.9341,             0.00086902,             0.00086902,             0.00086902
                     24,                 3.7163,                 3.0808,                 1.8718,                0.35886,                0.37129,                0.31869,                0.17748,                 3.5278,                 3.2436,                  1.934,             0.00085803,             0.00085803,             0.00085803
