epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.839,2.50009,2.74687,1.27645,0.10799,0.10379,0.0845,0.04722,2.09308,inf,1.09478,0.0677333,0.000325926,0.000325926
2,377.397,2.07339,1.96896,1.10409,0.15341,0.20987,0.1309,0.07672,1.94661,3.78889,1.04846,0.0347332,0.000659098,0.000659098
3,556.752,2.00846,1.86216,1.07506,0.21923,0.25164,0.16204,0.0892,1.94189,2.339,1.04752,0.00173236,0.000991623,0.000991623
4,753.008,2.03983,1.83523,1.06074,0.21671,0.26236,0.20559,0.1117,1.87106,2.17054,1.03985,0.000997803,0.000997803,0.000997803
5,1005.51,1.96865,1.76587,1.03785,0.22903,0.30126,0.21039,0.11441,1.89604,1.87503,1.04724,0.000996097,0.000996097,0.000996097
6,1213.85,1.90803,1.75191,1.04489,0.3292,0.28285,0.27551,0.14819,1.79407,2.58261,1.03422,0.000993906,0.000993906,0.000993906
7,1405.11,1.92668,1.73984,1.02262,0.27389,0.32887,0.26617,0.14344,1.78596,1.671,1.03645,0.000991232,0.000991232,0.000991232
8,1653.66,1.92848,1.74482,1.03295,0.28391,0.34033,0.28347,0.14567,1.9536,1.74046,1.06547,0.000988079,0.000988079,0.000988079
9,1816.81,1.89253,1.66484,1.0216,0.32978,0.37431,0.31639,0.16192,1.86382,1.78258,1.05752,0.000984449,0.000984449,0.000984449
10,1984.84,1.87031,1.60435,1.02034,0.32706,0.37742,0.31239,0.16626,1.80684,1.57759,1.02035,0.000980345,0.000980345,0.000980345
11,2146.93,1.84244,1.60715,1.02999,0.36584,0.41209,0.34995,0.19624,1.71111,1.54922,1.01575,0.000975773,0.000975773,0.000975773
12,2328.95,1.83961,1.53883,1.01701,0.35172,0.42016,0.3591,0.18956,1.7334,1.5469,1.03408,0.000970736,0.000970736,0.000970736
13,2507.78,1.79282,1.5041,1.01021,0.39744,0.38695,0.32334,0.17858,1.77798,1.51054,1.02666,0.000965239,0.000965239,0.000965239
14,2696.43,1.83874,1.5738,1.01535,0.34261,0.37109,0.29179,0.1652,1.73242,1.65376,1.01842,0.000959289,0.000959289,0.000959289
15,2910.95,1.80545,1.56172,1.0163,0.44206,0.36865,0.32115,0.16757,1.76189,1.48932,1.03045,0.000952889,0.000952889,0.000952889
16,3105.53,1.80925,1.56833,1.00712,0.38229,0.39622,0.35794,0.2052,1.66778,1.61096,1.01418,0.000946048,0.000946048,0.000946048
17,3305.35,1.7543,1.4995,1.0044,0.40653,0.42507,0.36574,0.20909,1.65627,1.44399,1.0085,0.000938772,0.000938772,0.000938772
18,3531.93,1.81008,1.50487,1.00685,0.39284,0.42862,0.36366,0.20027,1.74612,1.45237,1.03126,0.000931067,0.000931067,0.000931067
19,3728.03,1.81484,1.53585,0.99951,0.39507,0.43965,0.37768,0.20694,1.79659,1.48046,1.03482,0.000922942,0.000922942,0.000922942
20,3909.53,1.79333,1.53422,1.00868,0.43856,0.4389,0.36879,0.20449,1.70713,1.47624,1.03871,0.000914405,0.000914405,0.000914405
21,4095.83,1.78157,1.47351,0.99695,0.39063,0.4326,0.37438,0.20814,1.71924,1.50422,1.03197,0.000905463,0.000905463,0.000905463
22,4308.79,1.76753,1.46979,0.98754,0.38752,0.43025,0.3596,0.19832,1.71831,1.5396,1.02762,0.000896127,0.000896127,0.000896127
23,4492.74,1.75052,1.48415,0.98469,0.39428,0.42189,0.36645,0.21013,1.68631,1.53281,1.00476,0.000886404,0.000886404,0.000886404
24,4762.13,1.75661,1.44922,0.99973,0.38912,0.43382,0.36943,0.20757,1.69912,1.53731,1.02906,0.000876305,0.000876305,0.000876305
25,4903.64,1.76882,1.49537,0.99752,0.40083,0.43643,0.37484,0.21673,1.65208,1.56117,1.01665,0.000865839,0.000865839,0.000865839
26,5088.9,1.71552,1.40879,0.97533,0.40546,0.44306,0.36164,0.20701,1.65661,1.46731,1.00676,0.000855018,0.000855018,0.000855018
27,5282.47,1.76023,1.47419,0.98913,0.43921,0.42904,0.3727,0.20759,1.7252,1.50656,1.02806,0.000843851,0.000843851,0.000843851
28,5451.38,1.74157,1.41855,0.98909,0.40613,0.45654,0.38276,0.20768,1.7551,1.51639,1.03525,0.000832349,0.000832349,0.000832349
29,5683.21,1.74565,1.45432,0.98729,0.38652,0.39559,0.35188,0.20339,1.606,1.61315,1.00333,0.000820525,0.000820525,0.000820525
30,5885.64,1.6852,1.38835,0.97811,0.38229,0.41329,0.3703,0.21398,1.66646,1.53849,1.02315,0.000808389,0.000808389,0.000808389
31,6122.96,1.72934,1.40084,0.98182,0.41902,0.45773,0.39731,0.22076,1.67165,1.50579,1.02006,0.000795954,0.000795954,0.000795954
32,6334.67,1.72422,1.42236,0.9779,0.45096,0.4525,0.41862,0.23393,1.69303,1.47177,1.03631,0.000783231,0.000783231,0.000783231
33,6496.01,1.6747,1.36514,0.98092,0.43929,0.4314,0.37852,0.21813,1.66411,1.4128,1.00236,0.000770234,0.000770234,0.000770234
34,6719.23,1.73707,1.41264,0.9779,0.42913,0.4393,0.36615,0.19754,1.7188,1.53892,1.04587,0.000756976,0.000756976,0.000756976
35,6949.4,1.73193,1.41788,0.97759,0.43415,0.4598,0.4118,0.23718,1.60926,1.4696,1.0061,0.000743468,0.000743468,0.000743468
36,7114.66,1.67276,1.3564,0.97694,0.4205,0.45016,0.37532,0.21005,1.7031,1.50556,1.01795,0.000729725,0.000729725,0.000729725
37,7305.4,1.66576,1.36947,0.96843,0.45201,0.45967,0.40505,0.23605,1.58669,1.42972,0.99445,0.000715761,0.000715761,0.000715761
38,7481.24,1.66637,1.35286,0.97436,0.45072,0.43797,0.40279,0.22769,1.67829,1.67942,1.02532,0.000701588,0.000701588,0.000701588
39,7673.3,1.71065,1.394,0.97618,0.46228,0.43532,0.40618,0.22932,1.66766,1.52084,1.02154,0.000687222,0.000687222,0.000687222
40,7889.75,1.67761,1.40576,0.96477,0.42905,0.45057,0.40316,0.23435,1.63741,1.52112,1.00958,0.000672675,0.000672675,0.000672675
