                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3043,                 5.4197,                 2.2148,                0.63366,                0.49684,                0.55067,                0.27648,                 1.4592,                 107.07,                0.83242,             0.00066304,             0.00066304,             0.00066304
                      2,                 4.1886,                 3.5512,                 2.1975,                0.61119,                0.50919,                0.53024,                0.23557,                  1.582,                 3.2649,                0.86965,              0.0013231,              0.0013231,              0.0013231
                      3,                 4.2299,                 3.0975,                 2.2294,                0.68255,                0.52211,                0.58205,                0.30214,                 1.5148,                 3.8777,                0.86985,              0.0019766,              0.0019766,              0.0019766
                      4,                 4.1565,                 2.8226,                 2.2023,                0.70577,                0.58404,                0.64862,                0.31778,                 1.5669,                  65.39,                0.88145,              0.0019703,              0.0019703,              0.0019703
                      5,                 4.0715,                 2.6251,                  2.181,                0.76166,                0.60868,                0.68524,                0.32502,                   1.49,                 4.5265,                 0.8412,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.9219,                 2.4236,                 2.1391,                0.80616,                 0.6449,                0.73033,                0.38608,                 1.4451,                 3.7204,                0.84638,              0.0019505,              0.0019505,              0.0019505
                      7,                 3.8639,                 2.3694,                 2.1242,                0.81043,                0.64379,                  0.737,                0.40045,                 1.3782,                0.92413,                 0.8139,              0.0019406,              0.0019406,              0.0019406
                      8,                 3.8321,                   2.27,                 2.1077,                0.81692,                0.64722,                 0.7435,                 0.4107,                  1.348,                 2.4311,                0.80595,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.8169,                 2.2407,                 2.0995,                0.83108,                0.67987,                0.76136,                0.43828,                 1.3135,                 5.1195,                0.80105,              0.0019208,              0.0019208,              0.0019208
                     10,                 3.7436,                 2.1349,                 2.0846,                0.83453,                0.68471,                0.76536,                0.42459,                 1.3492,                 7.0867,                0.80599,              0.0019109,              0.0019109,              0.0019109
                     11,                  3.723,                  2.151,                 2.0711,                0.82039,                0.69843,                0.76776,                0.42697,                  1.407,                 1.0953,                 0.8166,               0.001901,               0.001901,               0.001901
                     12,                 3.6717,                  2.051,                 2.0663,                0.84052,                0.68379,                0.77476,                0.44381,                 1.3178,                 2.3502,                0.79793,              0.0018911,              0.0018911,              0.0018911
                     13,                 3.6672,                 2.0599,                 2.0558,                0.86482,                0.69661,                0.78935,                0.46157,                 1.2997,                 1.0163,                0.78857,              0.0018812,              0.0018812,              0.0018812
                     14,                 3.6775,                 2.0398,                 2.0634,                0.85668,                 0.7083,                0.79223,                0.45609,                 1.2953,                 2.9719,                0.78575,              0.0018713,              0.0018713,              0.0018713
                     15,                 3.6596,                 2.0564,                 2.0412,                0.84858,                0.68639,                 0.7825,                0.44534,                 1.3379,                 16.505,                0.79695,              0.0018614,              0.0018614,              0.0018614
                     16,                 3.6511,                 2.0477,                 2.0495,                0.85714,                0.69313,                0.77702,                 0.4486,                 1.3576,                 4.2125,                0.81804,              0.0018515,              0.0018515,              0.0018515
                     17,                 3.6252,                 1.9577,                 2.0399,                0.85058,                0.70556,                0.79198,                0.44596,                 1.3205,                 2.2353,                0.78748,              0.0018416,              0.0018416,              0.0018416
