                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8056,                 5.9623,                  2.606,                0.02855,                0.35973,                0.12391,                0.05519,                 3.4857,                 4.5605,                 2.4853,             0.00030003,             0.00030003,             0.00030003
                      2,                 3.5541,                 3.7297,                 2.4591,                0.74464,                 0.2419,                0.19374,                0.08705,                 3.3747,                 3.8969,                 2.5444,             0.00059706,             0.00059706,             0.00059706
                      3,                 3.4419,                 3.1181,                 2.4428,                0.64391,                 0.2716,                0.23185,                0.10329,                 3.3805,                 2.6584,                 2.5182,             0.00088809,             0.00088809,             0.00088809
                      4,                 3.4064,                 2.9165,                  2.451,                0.78841,                0.25595,                 0.2221,                0.10296,                 3.3949,                 2.6912,                  2.536,               0.000882,               0.000882,               0.000882
                      5,                  3.372,                 2.7237,                 2.4385,                0.67199,                0.33036,                0.26822,                 0.1304,                 3.2765,                 2.1573,                 2.4789,               0.000873,               0.000873,               0.000873
                      6,                 3.4122,                 2.5919,                 2.4358,                0.23349,                0.29895,                0.24413,                0.11704,                 3.6144,                 2.2722,                  2.651,               0.000864,               0.000864,               0.000864
                      7,                 3.3106,                 2.4026,                 2.4087,                0.40118,                0.33882,                0.26496,                0.12959,                 3.3807,                 2.1125,                 2.4811,             0.00085501,             0.00085501,             0.00085501
                      8,                 3.3151,                 2.2848,                 2.3801,                0.47666,                0.33727,                0.32736,                0.15907,                 3.4071,                 1.9476,                 2.4745,             0.00084601,             0.00084601,             0.00084601
                      9,                 3.2785,                  2.234,                 2.3915,                0.43393,                0.35502,                 0.3164,                0.15568,                 3.3457,                 1.9961,                 2.4763,             0.00083701,             0.00083701,             0.00083701
                     10,                 3.2805,                 2.1364,                 2.3687,                0.41845,                0.38075,                0.32287,                0.16635,                  3.233,                 1.7663,                 2.4154,             0.00082801,             0.00082801,             0.00082801
                     11,                 3.2005,                 2.0903,                 2.3566,                0.47698,                0.37168,                0.34554,                0.17713,                 3.2248,                 1.8434,                 2.4009,             0.00081901,             0.00081901,             0.00081901
                     12,                 3.1971,                 2.0289,                 2.3367,                0.48367,                0.34607,                0.34157,                0.17791,                 3.2957,                 1.7744,                 2.4331,             0.00081001,             0.00081001,             0.00081001
                     13,                 3.2154,                  1.996,                 2.3436,                0.45425,                0.38078,                0.34283,                0.17867,                 3.2354,                 1.8668,                 2.3917,             0.00080101,             0.00080101,             0.00080101
                     14,                 3.2304,                 1.9865,                 2.3278,                0.64069,                 0.3703,                0.36237,                0.18615,                 3.2846,                 1.7462,                 2.4215,             0.00079201,             0.00079201,             0.00079201
                     15,                  3.227,                 1.9676,                 2.3383,                0.32252,                0.33357,                0.32886,                0.17155,                 3.2355,                 1.7503,                 2.3861,             0.00078301,             0.00078301,             0.00078301
                     16,                 3.1366,                 1.8958,                 2.3088,                0.62516,                0.37571,                0.35447,                0.18306,                 3.2807,                 1.7198,                 2.4164,             0.00077401,             0.00077401,             0.00077401
