epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7717,2.54568,10.5367,3.09148,0.00684,0.70716,0.07954,0.05071,2.4278,7.07285,3.24626,0.000204861,0.000204861,0.000204861
2,79.3764,2.67349,9.33699,3.10872,0.53955,0.0914,0.13503,0.08465,2.95857,5.89006,3.61747,0.000409104,0.000409104,0.000409104
3,97.9343,2.84001,8.57511,3.23828,0.30735,0.20519,0.15855,0.0822,3.13057,6.12013,3.76948,0.000609222,0.000609222,0.000609222
4,116.557,2.82831,8.24869,3.25142,0.24159,0.24354,0.15502,0.08385,3.06137,6.51122,3.74669,0.000606437,0.000606437,0.000606437
5,135.7,2.78682,7.42393,3.17802,0.38881,0.23157,0.20107,0.11377,3.0128,5.66652,3.67978,0.00060025,0.00060025,0.00060025
6,155.114,2.80029,6.98651,3.14002,0.45997,0.31853,0.2693,0.15769,2.78059,5.05618,3.43254,0.000594062,0.000594062,0.000594062
7,173.906,2.77539,6.40866,3.12731,0.42213,0.27901,0.2435,0.142,3.1114,5.38845,3.72164,0.000587875,0.000587875,0.000587875
8,192.416,2.65356,6.11403,3.0664,0.36612,0.33847,0.27058,0.15961,2.89071,4.97919,3.38814,0.000581687,0.000581687,0.000581687
9,210.735,2.67623,5.78189,3.05858,0.40815,0.36009,0.35514,0.22236,2.90429,4.31861,3.40347,0.0005755,0.0005755,0.0005755
10,229.884,2.64773,5.55546,3.04757,0.60404,0.31616,0.36573,0.22084,2.87946,4.49184,3.49017,0.000569313,0.000569313,0.000569313
11,251.699,2.54755,5.19773,2.9864,0.3692,0.3845,0.3757,0.22416,2.79515,4.11986,3.3006,0.000563125,0.000563125,0.000563125
12,272.292,2.56094,4.97291,2.99356,0.39958,0.33653,0.32558,0.18874,3.10791,4.54394,3.66382,0.000556938,0.000556938,0.000556938
13,292.22,2.60182,4.87228,2.99611,0.38347,0.4069,0.35541,0.21922,2.68034,4.22184,3.25887,0.00055075,0.00055075,0.00055075
14,313.083,2.50117,4.56951,2.91255,0.32683,0.35698,0.3142,0.19774,2.81436,4.44145,3.24258,0.000544563,0.000544563,0.000544563
15,338.024,2.50687,4.42011,2.92987,0.44346,0.37623,0.37224,0.21922,2.77042,4.25689,3.47721,0.000538375,0.000538375,0.000538375
16,362.752,2.49458,4.21615,2.92601,0.45792,0.41147,0.41335,0.24604,2.84331,4.02996,3.44132,0.000532187,0.000532187,0.000532187
17,385.062,2.55004,4.21818,2.95898,0.55765,0.46439,0.51976,0.3289,2.62195,3.40592,3.13287,0.000526,0.000526,0.000526
18,406.432,2.44945,3.95159,2.85122,0.58274,0.45029,0.51647,0.33066,2.64869,3.70993,3.29865,0.000519812,0.000519812,0.000519812
19,426.675,2.46742,3.8507,2.87261,0.51338,0.50457,0.51731,0.34262,2.54626,3.23815,3.08011,0.000513625,0.000513625,0.000513625
20,446.441,2.4722,3.74942,2.8513,0.53555,0.45526,0.5082,0.3151,2.68442,3.41246,3.12074,0.000507438,0.000507438,0.000507438
21,466.25,2.48209,3.66712,2.90532,0.58142,0.52017,0.55001,0.3444,2.80744,3.26773,3.32939,0.00050125,0.00050125,0.00050125
22,486.06,2.41798,3.53986,2.81505,0.59536,0.60623,0.60026,0.35925,2.71945,3.03273,3.21672,0.000495063,0.000495063,0.000495063
23,505.744,2.38087,3.40898,2.81322,0.60485,0.52922,0.58764,0.36075,2.70691,3.10953,3.20584,0.000488875,0.000488875,0.000488875
24,526.752,2.40459,3.35752,2.83254,0.67061,0.56018,0.62454,0.39384,2.61714,2.77057,3.12928,0.000482687,0.000482687,0.000482687
25,545.422,2.32863,3.23545,2.77087,0.62419,0.56571,0.62424,0.38524,2.70383,3.02795,3.17846,0.0004765,0.0004765,0.0004765
26,563.554,2.34278,3.17656,2.78122,0.72808,0.53824,0.65485,0.43668,2.46036,2.59293,2.97927,0.000470312,0.000470312,0.000470312
27,582.26,2.35445,3.15028,2.77209,0.67261,0.55799,0.65607,0.42859,2.47564,2.6838,3.04147,0.000464125,0.000464125,0.000464125
28,600.737,2.3143,3.08958,2.75075,0.62623,0.59862,0.64508,0.43953,2.44331,2.61518,2.97813,0.000457938,0.000457938,0.000457938
29,619.184,2.3358,3.14362,2.78124,0.65401,0.57549,0.65635,0.42831,2.50266,2.55803,3.00923,0.00045175,0.00045175,0.00045175
30,638.183,2.26002,2.91914,2.70737,0.66655,0.59692,0.66158,0.44505,2.51869,2.56879,2.97727,0.000445562,0.000445562,0.000445562
31,656.547,2.2598,2.85378,2.72753,0.65342,0.54938,0.62102,0.41238,2.52411,3.12827,3.13465,0.000439375,0.000439375,0.000439375
32,674.656,2.26391,2.8979,2.70865,0.69406,0.55065,0.62394,0.39168,2.71423,3.06028,3.19211,0.000433187,0.000433187,0.000433187
33,692.702,2.30743,2.81868,2.7151,0.62738,0.64599,0.6814,0.45863,2.46692,2.52014,2.98435,0.000427,0.000427,0.000427
34,710.671,2.2232,2.69329,2.6571,0.74906,0.61273,0.67246,0.42922,2.62133,2.64387,3.24809,0.000420812,0.000420812,0.000420812
35,728.701,2.21649,2.65345,2.68174,0.64479,0.62747,0.6619,0.43063,2.55648,2.63614,3.05809,0.000414625,0.000414625,0.000414625
36,746.642,2.2482,2.67822,2.67528,0.7201,0.63906,0.72201,0.4608,2.45932,2.50246,3.00053,0.000408438,0.000408438,0.000408438
37,764.568,2.22191,2.54194,2.67944,0.68237,0.71101,0.73886,0.47315,2.56583,2.28938,3.08846,0.00040225,0.00040225,0.00040225
38,782.607,2.27603,2.65575,2.70566,0.71617,0.6394,0.7124,0.47421,2.53036,2.28553,3.04225,0.000396063,0.000396063,0.000396063
39,800.412,2.14926,2.55734,2.64735,0.7271,0.62952,0.72281,0.4815,2.43634,2.28398,2.98222,0.000389875,0.000389875,0.000389875
