epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.31,2.09427,2.22881,1.46879,0.35073,0.44775,0.38865,0.17729,1.79257,1.60275,1.34739,0.00332545,0.00332545,0.00332545
2,438.361,1.89609,1.50387,1.3263,0.39381,0.44742,0.41524,0.19977,1.77428,1.44592,1.29023,0.00659286,0.00659286,0.00659286
3,705.644,1.88572,1.42345,1.31419,0.43384,0.48046,0.41103,0.18987,1.82684,1.45085,1.31329,0.00979428,0.00979428,0.00979428
4,838.054,1.88492,1.36233,1.31656,0.41975,0.49265,0.42439,0.21086,1.81174,1.41152,1.30094,0.009703,0.009703,0.009703
5,982.287,1.85874,1.28491,1.30773,0.44084,0.48815,0.44636,0.21587,1.798,1.29575,1.30171,0.009604,0.009604,0.009604
6,1121.59,1.82145,1.21182,1.28372,0.47102,0.543,0.47346,0.22892,1.72806,1.2661,1.26942,0.009505,0.009505,0.009505
7,1280.54,1.79732,1.17544,1.27612,0.51111,0.551,0.51545,0.26019,1.72622,1.17376,1.27549,0.009406,0.009406,0.009406
8,1436.52,1.77419,1.13099,1.26629,0.54391,0.54968,0.53836,0.27872,1.70793,1.12161,1.26369,0.009307,0.009307,0.009307
9,1583.55,1.75407,1.09406,1.25932,0.56808,0.55701,0.5515,0.29894,1.63328,1.05714,1.22977,0.009208,0.009208,0.009208
10,1731.28,1.74166,1.07495,1.25319,0.54538,0.56546,0.56175,0.3045,1.63857,1.04935,1.22929,0.009109,0.009109,0.009109
11,1876.12,1.73537,1.05324,1.24061,0.60092,0.54989,0.591,0.32981,1.59032,1.01793,1.20375,0.00901,0.00901,0.00901
12,2026.4,1.7101,1.03041,1.23748,0.55721,0.56748,0.55479,0.3009,1.66071,1.08076,1.23591,0.008911,0.008911,0.008911
13,2177.55,1.70561,1.01648,1.23029,0.62155,0.56995,0.59268,0.33086,1.59693,1.02704,1.2073,0.008812,0.008812,0.008812
14,2317.98,1.69091,0.99529,1.23202,0.61437,0.61411,0.63265,0.3588,1.57922,0.97348,1.19333,0.008713,0.008713,0.008713
15,2478.41,1.6884,0.98634,1.22429,0.64947,0.57992,0.63405,0.36352,1.56988,0.95803,1.19106,0.008614,0.008614,0.008614
16,2625.39,1.67196,0.97244,1.21608,0.66607,0.59127,0.65554,0.37416,1.55618,0.95345,1.18738,0.008515,0.008515,0.008515
17,2777.84,1.66996,0.95813,1.20887,0.65188,0.60256,0.65929,0.38268,1.54141,0.90953,1.18378,0.008416,0.008416,0.008416
18,2921.25,1.65819,0.95785,1.21027,0.66334,0.58091,0.64253,0.37153,1.55065,0.94814,1.18372,0.008317,0.008317,0.008317
19,3082.32,1.64149,0.93833,1.20895,0.65961,0.62222,0.6767,0.39165,1.55893,0.90268,1.19435,0.008218,0.008218,0.008218
20,3238.89,1.64884,0.93726,1.20713,0.66312,0.61735,0.67508,0.39056,1.52807,0.90627,1.17973,0.008119,0.008119,0.008119
21,3394.19,1.63443,0.92233,1.20752,0.64545,0.62918,0.67408,0.39187,1.53875,0.88908,1.17675,0.00802,0.00802,0.00802
22,3544,1.62369,0.91562,1.19894,0.69915,0.6126,0.68756,0.40007,1.54381,0.87904,1.18887,0.007921,0.007921,0.007921
23,3694.3,1.62839,0.91274,1.19419,0.70001,0.61257,0.68757,0.40772,1.50663,0.87364,1.16796,0.007822,0.007822,0.007822
24,3839.42,1.61279,0.90372,1.19345,0.71259,0.62211,0.70326,0.41715,1.50944,0.86855,1.1641,0.007723,0.007723,0.007723
25,3987.59,1.61198,0.89859,1.19002,0.69297,0.63039,0.69939,0.42174,1.48851,0.85667,1.15832,0.007624,0.007624,0.007624
26,4150.08,1.61045,0.89849,1.19035,0.68184,0.6495,0.712,0.42924,1.48443,0.85773,1.1535,0.007525,0.007525,0.007525
27,4310.31,1.59679,0.88302,1.18535,0.68744,0.62747,0.69507,0.41301,1.49768,0.86113,1.15713,0.007426,0.007426,0.007426
28,4538.34,1.58774,0.87771,1.17851,0.68855,0.64966,0.70657,0.42805,1.47635,0.83881,1.14312,0.007327,0.007327,0.007327
29,4686.93,1.57919,0.86733,1.17602,0.72751,0.64052,0.72378,0.43988,1.46553,0.80765,1.14068,0.007228,0.007228,0.007228
