epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.206,2.08839,2.41731,1.52802,0.42228,0.10073,0.08504,0.04271,1.49259,3.16845,1.12265,0.00332962,0.00332962,0.00332962
2,996.997,1.8854,1.58411,1.39827,0.29426,0.24297,0.12488,0.0524,1.51716,23.7232,1.06654,0.00659699,0.00659699,0.00659699
3,2457.93,1.88558,1.54302,1.36283,0.26282,0.1591,0.08711,0.04115,1.56181,6.48104,1.09307,0.00979836,0.00979836,0.00979836
4,3053.77,1.89084,1.46767,1.35438,0.20944,0.19456,0.11829,0.05313,1.47848,2.6967,1.0267,0.009703,0.009703,0.009703
5,3408.31,1.85025,1.3455,1.32565,0.33702,0.24615,0.16412,0.07121,1.44452,3.48309,1.02592,0.009604,0.009604,0.009604
6,4942.23,1.81281,1.24771,1.30638,0.33574,0.28161,0.16999,0.07944,1.41335,5.34787,1.00162,0.009505,0.009505,0.009505
7,5442.43,1.78742,1.18797,1.29444,0.18172,0.2453,0.17741,0.08848,1.39497,12.5541,0.99061,0.009406,0.009406,0.009406
8,5789.94,1.77056,1.15733,1.27863,0.37761,0.27415,0.21085,0.11032,1.35366,5.45647,0.97309,0.009307,0.009307,0.009307
9,6858.09,1.74994,1.12259,1.273,0.60049,0.26011,0.23635,0.12765,1.33589,2.41558,0.97137,0.009208,0.009208,0.009208
10,7218.52,1.73528,1.09187,1.26791,0.50708,0.2858,0.26851,0.13467,1.32773,1.23319,0.96668,0.009109,0.009109,0.009109
11,7557.87,1.71255,1.06144,1.25126,0.36055,0.33515,0.30281,0.15763,1.32979,1.22068,0.95388,0.00901,0.00901,0.00901
12,7905.12,1.70265,1.05011,1.25268,0.47914,0.29194,0.29843,0.14793,1.31297,1.99835,0.95757,0.008911,0.008911,0.008911
13,9647.88,1.695,1.02952,1.24205,0.67253,0.28188,0.29265,0.14646,1.28548,1.30807,0.93573,0.008812,0.008812,0.008812
14,9983.34,1.687,1.01174,1.24099,0.63354,0.3326,0.3128,0.17087,1.27528,1.85268,0.93662,0.008713,0.008713,0.008713
15,10808.5,1.68071,1.00155,1.23354,0.65516,0.33719,0.3741,0.19826,1.27267,0.95476,0.93722,0.008614,0.008614,0.008614
16,11193.5,1.67282,0.98985,1.22943,0.41935,0.41927,0.36055,0.19145,1.27064,1.42291,0.93041,0.008515,0.008515,0.008515
