epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.13,2.18916,1.82759,1.53868,0.63398,0.46576,0.51527,0.2101,1.70709,2.65491,1.17965,0.0670184,0.000333147,0.000333147
2,1051.76,2.0383,1.54142,1.45413,0.72362,0.56978,0.63389,0.2852,1.49907,1.47181,1.05239,0.0340184,0.000666463,0.000666463
3,1584.87,2.00349,1.46331,1.43099,0.74546,0.59111,0.66171,0.3107,1.46836,1.99342,1.01811,0.0010183,0.000999706,0.000999706
4,2164.36,1.97703,1.39635,1.41451,0.74202,0.60389,0.67327,0.31808,1.42866,2.81983,1.02295,0.000999756,0.000999756,0.000999756
5,2731.41,1.94123,1.33942,1.39351,0.77366,0.61681,0.69839,0.33559,1.40781,1.56488,1.00616,0.000999566,0.000999566,0.000999566
6,3091.95,1.92425,1.31166,1.37735,0.78824,0.62656,0.71467,0.34261,1.42975,1.32642,1.00593,0.000999322,0.000999322,0.000999322
7,3570.68,1.91052,1.28166,1.36641,0.79091,0.64207,0.72324,0.35581,1.3928,0.99184,0.99852,0.000999023,0.000999023,0.000999023
8,4165.64,1.89546,1.2594,1.35899,0.79126,0.66141,0.73714,0.35809,1.40424,3.28517,0.99168,0.000998671,0.000998671,0.000998671
9,4502.7,1.88961,1.24961,1.3498,0.80442,0.67481,0.7513,0.37777,1.33708,2.61011,0.95907,0.000998264,0.000998264,0.000998264
10,4995.72,1.86855,1.20981,1.3388,0.80589,0.67618,0.75673,0.37961,1.3358,1.04436,0.96444,0.000997803,0.000997803,0.000997803
11,5320.1,1.8624,1.19991,1.33695,0.81855,0.68116,0.76761,0.39097,1.3202,1.18681,0.96727,0.000997288,0.000997288,0.000997288
12,6470.9,1.85013,1.18575,1.33172,0.81731,0.6827,0.75874,0.37678,1.35879,0.92156,0.96664,0.00099672,0.00099672,0.00099672
13,6818.08,1.84034,1.16947,1.32818,0.80812,0.68589,0.76317,0.38151,1.33627,1.13325,0.9627,0.000996097,0.000996097,0.000996097
14,7134.69,1.84044,1.16054,1.32378,0.82074,0.70248,0.78278,0.4045,1.30648,0.93104,0.95094,0.00099542,0.00099542,0.00099542
15,7478.22,1.83607,1.15187,1.31837,0.82045,0.69302,0.77563,0.39758,1.32053,0.83982,0.95309,0.00099469,0.00099469,0.00099469
16,7802.35,1.82663,1.14771,1.31905,0.8282,0.70913,0.78927,0.40454,1.30334,0.9539,0.94891,0.000993906,0.000993906,0.000993906
17,8150.39,1.82705,1.14563,1.31499,0.83659,0.70838,0.79258,0.41235,1.3009,0.82003,0.94377,0.000993068,0.000993068,0.000993068
18,8480.37,1.8093,1.12393,1.30511,0.83615,0.71733,0.79859,0.41849,1.28039,0.90516,0.93472,0.000992177,0.000992177,0.000992177
19,8804.37,1.80927,1.11521,1.30466,0.83979,0.71395,0.79863,0.41823,1.27691,0.87679,0.93414,0.000991232,0.000991232,0.000991232
20,9132.71,1.80072,1.11064,1.30373,0.83577,0.72369,0.80389,0.41974,1.28873,0.84641,0.93977,0.000990234,0.000990234,0.000990234
21,9678.35,1.79585,1.10556,1.29967,0.83617,0.72447,0.80247,0.42289,1.28041,0.93778,0.938,0.000989183,0.000989183,0.000989183
22,10000.7,1.80155,1.10915,1.301,0.84018,0.7176,0.79963,0.4176,1.28673,0.88345,0.93178,0.000988079,0.000988079,0.000988079
23,10333.2,1.79656,1.09617,1.29487,0.84964,0.72448,0.81069,0.4302,1.26301,0.82154,0.9273,0.000986922,0.000986922,0.000986922
24,10655.5,1.78713,1.0903,1.29425,0.84132,0.73593,0.81391,0.43065,1.26022,0.85291,0.9233,0.000985711,0.000985711,0.000985711
25,10998.1,1.78641,1.08473,1.28737,0.84479,0.73365,0.81165,0.4325,1.2561,0.80496,0.9243,0.000984449,0.000984449,0.000984449
26,11320.9,1.78008,1.07596,1.29122,0.84922,0.73391,0.81586,0.4334,1.2591,0.82248,0.92231,0.000983133,0.000983133,0.000983133
27,11657.1,1.77608,1.06739,1.28411,0.83756,0.74252,0.81915,0.44079,1.24088,0.76787,0.91292,0.000981765,0.000981765,0.000981765
28,11977.4,1.77439,1.06868,1.28225,0.8409,0.73826,0.8173,0.43844,1.24833,0.80045,0.91803,0.000980345,0.000980345,0.000980345
29,12319.8,1.77824,1.0693,1.28052,0.85146,0.73894,0.8224,0.44318,1.24082,0.74535,0.91273,0.000978873,0.000978873,0.000978873
30,12639,1.7631,1.05779,1.27941,0.84534,0.74078,0.81759,0.44071,1.24265,0.81604,0.91392,0.000977349,0.000977349,0.000977349
31,12958.8,1.76044,1.05071,1.2777,0.85034,0.74662,0.82625,0.44551,1.23683,0.75299,0.90982,0.000975773,0.000975773,0.000975773
32,13305.1,1.76194,1.04993,1.27541,0.85594,0.74599,0.82796,0.44806,1.23191,0.76935,0.90835,0.000974145,0.000974145,0.000974145
33,13633.3,1.75728,1.04497,1.27266,0.85789,0.74911,0.82752,0.44898,1.22942,0.79007,0.90548,0.000972466,0.000972466,0.000972466
34,13984.5,1.7531,1.04773,1.27602,0.85699,0.74904,0.82798,0.4516,1.22081,0.73731,0.90602,0.000970736,0.000970736,0.000970736
35,14310.8,1.7533,1.03897,1.27355,0.85488,0.75489,0.83215,0.4543,1.22425,0.76153,0.90512,0.000968955,0.000968955,0.000968955
36,14669.6,1.75263,1.03792,1.26901,0.85815,0.75282,0.83248,0.45417,1.22293,0.76915,0.90197,0.000967122,0.000967122,0.000967122
37,14991.7,1.74711,1.03283,1.26731,0.85458,0.76257,0.83723,0.45932,1.21416,0.73363,0.89892,0.000965239,0.000965239,0.000965239
38,15336.8,1.74801,1.03198,1.26584,0.85605,0.75928,0.83581,0.45998,1.20896,0.72274,0.89736,0.000963306,0.000963306,0.000963306
39,15669,1.74314,1.02484,1.2641,0.85367,0.75888,0.8361,0.46068,1.20642,0.71683,0.89643,0.000961322,0.000961322,0.000961322
40,16024.5,1.7447,1.0301,1.26333,0.85877,0.76071,0.83865,0.46316,1.2045,0.70675,0.89474,0.000959289,0.000959289,0.000959289
41,16367.3,1.74819,1.02701,1.26216,0.86271,0.75981,0.83724,0.46144,1.20758,0.70191,0.89333,0.000957205,0.000957205,0.000957205
42,16687,1.73909,1.01948,1.25776,0.86686,0.75587,0.83638,0.46058,1.20535,0.69922,0.89315,0.000955072,0.000955072,0.000955072
43,17024.6,1.73574,1.0193,1.25816,0.86341,0.75965,0.83933,0.4623,1.2065,0.69,0.89292,0.000952889,0.000952889,0.000952889
44,17346.9,1.7303,1.00983,1.25691,0.86011,0.76341,0.83968,0.46465,1.20125,0.69436,0.89126,0.000950658,0.000950658,0.000950658
45,17703.2,1.72687,1.00992,1.25694,0.86851,0.76008,0.8408,0.4666,1.19732,0.68633,0.89064,0.000948377,0.000948377,0.000948377
46,19600.2,1.72896,1.00671,1.25735,0.86169,0.76652,0.84126,0.46746,1.19307,0.67286,0.88951,0.000946048,0.000946048,0.000946048
47,19920.5,1.7269,1.00603,1.25519,0.86009,0.7685,0.84259,0.46828,1.19481,0.68593,0.88962,0.000943671,0.000943671,0.000943671
48,20256.6,1.72832,1.00502,1.25756,0.86116,0.76835,0.84391,0.4694,1.19439,0.68346,0.88868,0.000941245,0.000941245,0.000941245
49,20594.4,1.72465,0.99684,1.25146,0.85911,0.77083,0.84479,0.46872,1.19306,0.68073,0.8881,0.000938772,0.000938772,0.000938772
50,20932.8,1.72462,1.00049,1.25127,0.8654,0.77104,0.84588,0.46998,1.1934,0.67548,0.8879,0.000936251,0.000936251,0.000936251
51,21254.5,1.71755,0.99211,1.24896,0.86795,0.76882,0.84607,0.4703,1.19429,0.67864,0.88686,0.000933683,0.000933683,0.000933683
52,21605.8,1.7181,0.99596,1.24927,0.8644,0.7722,0.84695,0.47193,1.19118,0.67922,0.88533,0.000931067,0.000931067,0.000931067
53,21922.2,1.71981,0.99526,1.2537,0.86843,0.77187,0.84752,0.47184,1.19012,0.67547,0.88559,0.000928405,0.000928405,0.000928405
54,22375,1.71058,0.98708,1.25043,0.86478,0.77231,0.84679,0.47254,1.18753,0.67644,0.88562,0.000925697,0.000925697,0.000925697
55,22695.5,1.70216,0.98207,1.24531,0.86987,0.76967,0.8481,0.4728,1.18568,0.67722,0.88494,0.000922942,0.000922942,0.000922942
56,23491.4,1.70912,0.98533,1.24544,0.87199,0.7677,0.84833,0.47377,1.18363,0.67811,0.88381,0.000920142,0.000920142,0.000920142
57,23816,1.70648,0.9828,1.24759,0.87177,0.76913,0.84871,0.47533,1.1803,0.66924,0.8822,0.000917296,0.000917296,0.000917296
58,24151.9,1.70295,0.97883,1.24274,0.87149,0.77051,0.8491,0.47533,1.18025,0.66389,0.88231,0.000914405,0.000914405,0.000914405
59,24489,1.69966,0.9755,1.24159,0.87165,0.77062,0.84931,0.47579,1.18044,0.6597,0.88232,0.000911469,0.000911469,0.000911469
60,24828.3,1.69855,0.97251,1.24053,0.87134,0.76919,0.84956,0.47624,1.17953,0.65568,0.88162,0.000908488,0.000908488,0.000908488
61,25152.4,1.70083,0.97374,1.23863,0.87187,0.77035,0.85035,0.47711,1.17844,0.65623,0.88085,0.000905463,0.000905463,0.000905463
62,25496.7,1.69427,0.96699,1.23666,0.87355,0.77058,0.85107,0.47805,1.17727,0.65932,0.88017,0.000902395,0.000902395,0.000902395
63,25818.5,1.7001,0.97319,1.23831,0.87173,0.77268,0.85147,0.47949,1.17488,0.66036,0.87909,0.000899282,0.000899282,0.000899282
64,26166.1,1.69732,0.96947,1.23656,0.87171,0.77178,0.85206,0.48015,1.17384,0.66043,0.87881,0.000896127,0.000896127,0.000896127
65,26495.4,1.69715,0.96777,1.23714,0.87167,0.77273,0.85279,0.48064,1.17281,0.66066,0.87847,0.000892928,0.000892928,0.000892928
66,26836,1.69511,0.96414,1.23741,0.87367,0.77284,0.85316,0.48106,1.1722,0.66074,0.87797,0.000889687,0.000889687,0.000889687
67,27155.6,1.69786,0.96631,1.23364,0.87365,0.77152,0.85326,0.4819,1.17077,0.65898,0.87745,0.000886404,0.000886404,0.000886404
68,27519.7,1.68209,0.95998,1.2284,0.87461,0.77125,0.85343,0.48225,1.16982,0.65713,0.87712,0.000883079,0.000883079,0.000883079
69,27883.3,1.68918,0.95944,1.23172,0.87299,0.77178,0.85394,0.48263,1.16862,0.65523,0.87646,0.000879713,0.000879713,0.000879713
70,28261,1.6879,0.95763,1.23088,0.87142,0.77391,0.85402,0.48294,1.16722,0.65584,0.8759,0.000876305,0.000876305,0.000876305
71,28598.2,1.68239,0.95228,1.22897,0.8713,0.77488,0.85417,0.48317,1.16665,0.65483,0.87565,0.000872857,0.000872857,0.000872857
72,29455,1.69014,0.9577,1.23097,0.87332,0.77226,0.8543,0.48305,1.16578,0.65671,0.87509,0.000869368,0.000869368,0.000869368
73,29789.8,1.68281,0.95446,1.23003,0.87292,0.77379,0.85457,0.48349,1.16542,0.65709,0.87485,0.000865839,0.000865839,0.000865839
74,30133.3,1.67855,0.94552,1.22816,0.87086,0.77591,0.85483,0.48387,1.16454,0.6554,0.87449,0.000862271,0.000862271,0.000862271
75,30451.3,1.68896,0.95857,1.2297,0.87056,0.77755,0.85469,0.48391,1.16419,0.65369,0.87442,0.000858664,0.000858664,0.000858664
