epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1735,2.19786,2.71013,1.92218,0.77799,0.74321,0.75902,0.24554,2.13307,1.74569,1.98129,0.000662698,0.000662698,0.000662698
2,99.6695,2.06002,1.72263,1.79596,0.79277,0.75543,0.80935,0.25527,2.24825,1.31813,2.17262,0.0013162,0.0013162,0.0013162
3,142.458,2.08225,1.48695,1.78969,0.46789,0.58832,0.42328,0.11474,2.22859,2.51659,1.97113,0.00195651,0.00195651,0.00195651
4,184.765,2.07064,1.40485,1.78485,0.65088,0.73505,0.73353,0.26342,2.1294,1.30923,2.00265,0.0019406,0.0019406,0.0019406
5,227.643,2.05629,1.34578,1.80551,0.72181,0.71564,0.73251,0.25832,2.09559,1.37916,1.99335,0.0019208,0.0019208,0.0019208
6,270.282,2.03484,1.32342,1.78915,0.80925,0.74185,0.79014,0.27186,2.17978,1.31041,2.02878,0.001901,0.001901,0.001901
7,312.26,2.03218,1.28773,1.7878,0.8211,0.8125,0.85275,0.30245,2.0591,1.31649,1.90726,0.0018812,0.0018812,0.0018812
8,354.98,2.03552,1.28787,1.79477,0.86873,0.81658,0.88163,0.32482,2.07769,1.20319,1.99843,0.0018614,0.0018614,0.0018614
9,398.649,2.00149,1.24746,1.76378,0.80273,0.80166,0.82121,0.29905,2.09771,1.24679,2.00991,0.0018416,0.0018416,0.0018416
10,443.666,2.02262,1.22759,1.76302,0.86119,0.76708,0.84962,0.32985,2.08877,1.20444,1.90244,0.0018218,0.0018218,0.0018218
11,485.063,1.98332,1.21732,1.73366,0.82345,0.81658,0.85639,0.31939,2.16894,1.12378,1.98297,0.001802,0.001802,0.001802
12,526.711,1.98966,1.21066,1.74515,0.85448,0.84568,0.869,0.31853,2.11968,1.22135,1.89867,0.0017822,0.0017822,0.0017822
13,568.722,1.98823,1.19907,1.74271,0.85386,0.79383,0.8659,0.32718,2.07689,1.14949,1.90172,0.0017624,0.0017624,0.0017624
14,611.941,1.9753,1.20597,1.73325,0.86645,0.8587,0.88503,0.33033,2.05374,1.17426,1.93811,0.0017426,0.0017426,0.0017426
15,654.118,2.00041,1.1993,1.76849,0.8467,0.80163,0.86916,0.32688,2.12412,1.14314,1.96949,0.0017228,0.0017228,0.0017228
16,696.438,1.98269,1.17993,1.74581,0.8279,0.79212,0.85408,0.3273,2.05804,1.17229,1.94831,0.001703,0.001703,0.001703
17,741.17,1.97852,1.17846,1.75894,0.8391,0.80842,0.84401,0.31202,2.09495,1.18876,1.97413,0.0016832,0.0016832,0.0016832
18,784.802,1.98301,1.15317,1.76382,0.9062,0.78756,0.87573,0.33228,2.10405,1.1779,1.98327,0.0016634,0.0016634,0.0016634
19,826.667,1.96233,1.13656,1.73309,0.90793,0.83076,0.88178,0.33822,2.08395,1.09404,1.97013,0.0016436,0.0016436,0.0016436
