epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5004,1.98681,2.90181,1.62005,0.74841,0.56652,0.6763,0.26994,1.93757,2.93854,1.61793,0.000659794,0.000659794,0.000659794
2,56.4265,1.90686,1.80568,1.56724,0.75088,0.6867,0.70451,0.24925,2.04831,2.60823,1.8824,0.00131333,0.00131333,0.00131333
3,80.2908,1.89525,1.51444,1.5746,0.84824,0.72103,0.8328,0.35639,1.90041,1.38854,1.58377,0.00195366,0.00195366,0.00195366
4,104.073,1.90944,1.38504,1.57453,0.84387,0.66953,0.75823,0.30514,2.17522,1.40015,1.86933,0.0019406,0.0019406,0.0019406
5,127.887,1.87416,1.23222,1.5458,0.79036,0.6867,0.73105,0.27116,2.36114,1.29046,1.99867,0.0019208,0.0019208,0.0019208
6,151.625,1.85226,1.16458,1.54095,0.79908,0.75105,0.83017,0.38848,1.87155,1.22728,1.63455,0.001901,0.001901,0.001901
7,175.723,1.82459,1.12219,1.52425,0.83079,0.80075,0.88117,0.41039,1.83469,1.11962,1.65276,0.0018812,0.0018812,0.0018812
8,199.526,1.8217,1.06962,1.52565,0.88205,0.82403,0.89453,0.42678,1.91193,1.06704,1.67606,0.0018614,0.0018614,0.0018614
9,223.264,1.81948,1.08397,1.53105,0.89648,0.81974,0.89263,0.41773,1.85093,1.10943,1.62278,0.0018416,0.0018416,0.0018416
10,246.954,1.8001,1.02716,1.50896,0.78162,0.66094,0.74531,0.32313,2.19187,1.20984,1.74744,0.0018218,0.0018218,0.0018218
11,270.645,1.77665,1.02274,1.50522,0.90058,0.78541,0.89439,0.39111,1.97439,1.04524,1.70611,0.001802,0.001802,0.001802
12,294.247,1.76637,0.99432,1.48213,0.89878,0.76216,0.86114,0.36667,1.96734,1.16323,1.73635,0.0017822,0.0017822,0.0017822
13,317.963,1.81293,1.00878,1.5326,0.88247,0.74119,0.8626,0.37781,1.99559,1.16245,1.76073,0.0017624,0.0017624,0.0017624
14,341.631,1.78883,0.96094,1.51932,0.91214,0.80258,0.91543,0.44195,1.84344,1.01753,1.68912,0.0017426,0.0017426,0.0017426
