epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2384,2.64181,4.45186,2.50203,0.00249,0.49405,0.00194,0.00055,2.29901,4.06338,2.326,0.00024,0.00024,0.00024
2,97.9791,2.13333,3.31891,1.90855,0.00495,0.98214,0.35125,0.09744,2.02275,3.74127,1.99669,0.00049505,0.00049505,0.00049505
3,138.664,2.09995,2.64209,1.95334,0.00489,0.97024,0.10648,0.02108,1.97948,3.64394,2.32911,0.000744952,0.000744952,0.000744952
4,178.67,2.09927,2.31742,1.93119,0.49556,0.2573,0.32995,0.08672,1.96779,3.13414,2.22546,0.000989706,0.000989706,0.000989706
5,210.151,2.06876,2.30651,1.95093,0.54912,0.41667,0.51416,0.17178,2.01725,2.76703,1.98143,0.00122931,0.00122931,0.00122931
6,242.983,2.05639,2.00556,1.84667,0.6212,0.54167,0.62961,0.19524,2.14804,2.48704,1.94949,0.00146377,0.00146377,0.00146377
7,273.367,2.07805,1.87189,1.91258,0.51631,0.625,0.54099,0.15706,2.16962,2.61413,2.16803,0.00169308,0.00169308,0.00169308
8,306.703,2.07721,1.88208,1.92396,0.67165,0.6369,0.64753,0.16377,2.39044,5.08501,2.36838,0.0018614,0.0018614,0.0018614
9,339.998,2.04886,1.77225,1.91099,0.44367,0.44048,0.43146,0.12478,2.20844,3.85821,2.18382,0.0018416,0.0018416,0.0018416
10,376.588,2.02121,1.65404,1.84493,0.32639,0.41244,0.31824,0.07593,2.52491,2.80673,2.44146,0.0018218,0.0018218,0.0018218
11,408.521,2.08821,1.73558,1.8775,0.67603,0.64881,0.68819,0.21635,2.17693,1.93686,1.995,0.001802,0.001802,0.001802
12,443.565,2.12563,1.64218,1.92233,0.68533,0.55952,0.64274,0.21068,2.09751,2.65954,1.84194,0.0017822,0.0017822,0.0017822
13,473.918,2.01678,1.53098,1.85126,0.6086,0.75,0.71284,0.23832,2.13854,1.71555,1.91791,0.0017624,0.0017624,0.0017624
14,509.553,2.02751,1.57821,1.84967,0.54964,0.61905,0.5468,0.15647,2.35646,2.04057,2.07892,0.0017426,0.0017426,0.0017426
15,537.92,2.06583,1.55576,1.88651,0.76006,0.65476,0.72769,0.23979,2.19891,1.72613,2.0895,0.0017228,0.0017228,0.0017228
16,568.949,2.018,1.44403,1.86438,0.56383,0.54631,0.56815,0.16638,2.20908,1.82335,2.05448,0.001703,0.001703,0.001703
17,598.485,1.92195,1.43992,1.81845,0.63129,0.63095,0.58908,0.1805,2.14509,1.71948,2.00982,0.0016832,0.0016832,0.0016832
18,626.02,2.00118,1.47674,1.84927,0.71688,0.72024,0.72549,0.21248,2.30963,1.66815,2.17129,0.0016634,0.0016634,0.0016634
