                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3043,                 5.4197,                 2.2148,                0.63366,                0.49684,                0.55067,                0.27648,                 1.4592,                 107.07,                0.83242,             0.00066304,             0.00066304,             0.00066304
                      2,                 4.1611,                 3.5297,                 2.1908,                0.66384,                 0.5476,                0.59071,                0.29584,                  1.509,                 11.096,                0.84865,              0.0013165,              0.0013165,              0.0013165
                      3,                 4.1939,                  3.063,                 2.2115,                0.66152,                0.53222,                0.57517,                0.29557,                 1.5096,                 462.42,                0.87024,              0.0019568,              0.0019568,              0.0019568
                      4,                 4.1782,                 2.8659,                 2.2002,                0.72829,                0.55944,                0.63493,                0.30052,                 1.6353,                 1.9896,                0.91738,              0.0019406,              0.0019406,              0.0019406
                      5,                 4.0543,                 2.6372,                 2.1672,                0.76733,                0.62595,                0.70549,                 0.3657,                 1.4209,                 6.8157,                0.82158,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.8969,                  2.419,                 2.1305,                0.81146,                0.65291,                0.73968,                0.39887,                 1.4117,                 1.4925,                 0.8211,               0.001901,               0.001901,               0.001901
                      7,                 3.8738,                 2.3648,                 2.1249,                0.80192,                0.63353,                0.72745,                0.40756,                 1.3493,                 6.7857,                0.80371,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.8305,                 2.2884,                 2.1061,                0.78084,                0.64238,                0.71961,                0.38859,                 1.4157,                 2.1613,                0.83572,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.8028,                 2.2257,                 2.0937,                0.75839,                0.61087,                0.68357,                0.37609,                 1.4178,                 132.63,                0.82543,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.7462,                 2.1465,                 2.0845,                0.83813,                0.67503,                0.76368,                0.42209,                 1.3656,                 7.0505,                0.81151,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.7519,                  2.161,                 2.0766,                0.83792,                0.68092,                0.77142,                0.43619,                 1.3511,                 1.5208,                0.80097,               0.001802,               0.001802,               0.001802
                     12,                 3.6657,                 2.0705,                 2.0682,                0.83598,                0.69133,                0.77573,                0.43759,                 1.3168,                  2.966,                0.79224,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.6617,                 2.0581,                  2.051,                0.85028,                0.69375,                 0.7863,                 0.4623,                 1.2921,                 1.0021,                0.78547,              0.0017624,              0.0017624,              0.0017624
