iter	Passed	Remaining
0	310	310175
1	522	260504
2	694	230810
3	894	222634
4	1157	230382
5	1395	231122
6	1543	218988
7	1693	210007
8	1852	203938
9	2017	199717
10	2172	195356
11	2338	192531
12	2497	189616
13	2641	186033
14	2798	183800
15	2961	182120
16	3108	179741
17	3274	178666
18	3437	177480
19	3591	175993
20	3746	174673
21	3879	172469
22	4016	170595
23	4171	169653
24	4317	168364
25	4456	166941
26	4615	166310
27	4747	164804
28	4882	163463
29	5014	162144
30	5160	161321
31	5306	160508
32	5457	159908
33	5601	159154
34	5762	158880
35	5917	158455
36	6170	160598
37	6318	159946
38	6462	159230
39	6600	158410
40	6755	158002
41	6916	157754
42	7051	156947
43	7210	156668
44	7381	156645
45	7539	156368
46	7684	155819
47	7823	155163
48	7963	154547
49	8107	154047
50	8271	153914
51	8414	153400
52	8562	152986
53	8734	153012
54	8889	152732
55	9037	152351
56	9182	151921
57	9345	151783
58	9497	151472
59	9647	151148
60	9808	150990
61	9960	150692
62	10115	150443
63	10275	150284
64	10426	149978
65	10576	149677
66	10717	149241
67	10853	148752
68	10997	148388
69	11154	148198
70	11317	148086
71	11492	148124
72	11629	147680
73	11796	147611
74	11948	147365
75	12096	147071
76	12253	146881
77	12399	146570
78	12545	146254
79	12689	145930
80	12828	145546
81	12970	145211
82	13108	144825
83	13238	144359
84	13367	143897
85	13516	143648
86	13667	143432
87	13818	143207
88	13958	142875
89	14126	142830
90	14271	142561
91	14414	142263
92	14572	142124
93	14724	141916
94	14861	141572
95	15016	141403
96	15170	141229
97	15316	140976
98	15447	140589
99	15598	140383
100	15740	140107
101	15874	139760
102	16000	139341
103	16162	139246
104	16303	138964
105	16451	138748
106	16607	138598
107	16775	138555
108	16905	138194
109	17025	137755
110	17161	137445
111	17302	137185
112	17455	137021
113	17600	136788
114	17747	136578
115	17894	136368
116	18039	136142
117	18211	136122
118	18376	136044
119	18538	135949
120	18692	135793
121	18818	135429
122	18951	135126
123	19113	135029
124	19251	134761
125	19383	134453
126	19514	134144
127	19639	133793
128	19776	133530
129	19908	133231
130	20037	132923
131	20171	132643
132	20304	132361
133	20430	132033
134	20555	131709
135	20694	131471
136	20839	131275
137	20963	130948
138	21100	130701
139	21236	130455
140	21387	130294
141	21523	130052
142	21666	129844
143	21815	129679
144	21958	129480
145	22103	129289
146	22240	129056
147	22386	128876
148	22517	128605
149	22645	128323
150	22773	128043
151	22908	127806
152	23060	127664
153	23192	127410
154	23332	127202
155	23467	126965
156	23598	126709
157	23735	126488
158	23879	126305
159	24012	126066
160	24149	125845
161	24288	125641
162	24430	125451
163	24589	125347
164	24717	125086
165	24845	124827
166	24992	124664
167	25143	124518
168	25291	124364
169	25439	124204
170	25605	124132
171	25786	124134
172	25932	123965
173	26099	123896
174	26248	123742
175	26396	123582
176	26527	123344
177	26681	123213
178	26810	122970
179	26941	122734
180	27095	122605
181	27214	122317
182	27349	122101
183	27494	121932
184	27633	121735
185	27761	121494
186	27907	121331
187	28063	121210
188	28200	121009
189	28327	120763
190	28464	120562
191	28605	120380
192	28743	120185
193	28873	119960
194	29040	119884
195	29179	119693
196	29317	119503
197	29453	119300
198	29601	119148
199	29748	118993
200	29879	118774
201	30038	118666
202	30182	118500
203	30342	118396
204	30491	118248
205	30647	118128
206	30781	117920
207	30924	117751
208	31088	117658
209	31231	117490
210	31379	117339
211	31533	117210
212	31666	117002
213	31802	116807
214	31943	116631
215	32093	116488
216	32250	116370
217	32397	116216
218	32538	116038
219	32679	115864
220	32827	115713
221	32971	115549
222	33121	115404
223	33259	115219
224	33389	115007
225	33537	114858
226	33672	114665
227	33823	114525
228	33988	114434
229	34139	114292
230	34274	114099
231	34434	113991
232	34573	113809
233	34709	113622
234	34858	113474
235	34988	113267
236	35136	113118
237	35283	112966
238	35409	112747
239	35541	112546
240	35680	112369
241	35813	112175
242	35952	112001
243	36100	111853
244	36248	111703
245	36394	111550
246	36537	111388
247	36674	111206
248	36807	111013
249	36960	110881
250	37111	110742
251	37266	110616
252	37402	110432
253	37558	110308
254	37696	110131
255	37831	109948
256	37982	109810
257	38152	109724
258	38300	109576
259	38435	109393
260	38566	109197
261	38698	109006
262	38837	108833
263	38983	108680
264	39140	108559
265	39291	108419
266	39411	108195
267	39562	108058
268	39724	107951
269	39863	107779
270	40013	107638
271	40143	107443
272	40290	107294
273	40431	107128
274	40590	107011
275	40729	106841
276	40861	106652
277	41027	106552
278	41165	106382
279	41312	106230
280	41447	106051
281	41600	105918
282	41747	105770
283	41893	105619
284	42045	105482
285	42177	105296
286	42316	105126
287	42448	104943
288	42592	104786
289	42726	104607
290	42876	104466
291	43042	104364
292	43179	104192
293	43306	103993
294	43448	103835
295	43611	103724
296	43762	103585
297	43942	103514
298	44096	103384
299	44250	103251
300	44395	103098
301	44541	102947
302	44704	102834
303	44860	102707
304	45049	102652
305	45209	102534
306	45422	102532
307	45640	102541
308	45860	102556
309	46003	102394
310	46139	102219
311	46274	102042
312	46411	101867
313	46560	101720
314	46696	101547
315	46824	101353
316	46982	101227
317	47133	101085
318	47287	100949
319	47436	100803
320	47611	100711
321	47774	100593
322	47956	100515
323	48118	100395
324	48302	100319
325	48495	100264
326	48680	100188
327	48849	100081
328	49014	99966
329	49149	99788
330	49309	99660
331	49464	99525
332	49637	99424
333	49843	99388
334	50042	99337
335	50220	99245
336	50379	99115
337	50519	98945
338	50709	98876
339	50888	98783
340	51089	98732
341	51221	98549
342	51355	98368
343	51505	98218
344	51641	98043
345	51782	97878
346	51921	97707
347	52058	97535
348	52194	97360
349	52326	97178
350	52479	97034
351	52603	96838
352	52740	96666
