datetime,temp,humidity
2024-10-14T00:00:00,22.3,90.11
2024-10-14T01:00:00,21.6,93.46
2024-10-14T02:00:00,20.9,95.77
2024-10-14T03:00:00,20.7,96.36
2024-10-14T04:00:00,20.5,96.36
2024-10-14T05:00:00,20.2,97.55
2024-10-14T06:00:00,20.1,97.55
2024-10-14T07:00:00,20,97.55
2024-10-14T08:00:00,21.3,92.3
2024-10-14T09:00:00,25,78.97
2024-10-14T10:00:00,27.5,68.13
2024-10-14T11:00:00,29.6,58.48
2024-10-14T12:00:00,31.1,52.03
2024-10-14T13:00:00,32.5,46.3
2024-10-14T14:00:00,33.1,42.32
2024-10-14T15:00:00,33.6,39.13
2024-10-14T16:00:00,33.2,38.53
2024-10-14T17:00:00,31.2,44.81
2024-10-14T18:00:00,28.8,53.75
2024-10-14T19:00:00,26.7,61.15
2024-10-14T20:00:00,25,66.79
2024-10-14T21:00:00,23.4,76.33
2024-10-14T22:00:00,22.3,84.18
2024-10-14T23:00:00,21.4,87.29
2024-10-15T00:00:00,20.5,88.31
2024-10-15T01:00:00,19.8,91.07
2024-10-15T02:00:00,19.4,91.62
2024-10-15T03:00:00,19.1,90.45
2024-10-15T04:00:00,18.8,90.43
2024-10-15T05:00:00,18.5,89.83
2024-10-15T06:00:00,18.2,89.24
2024-10-15T07:00:00,17.8,89.78
2024-10-15T08:00:00,18.6,85.93
2024-10-15T09:00:00,23.2,63.12
2024-10-15T10:00:00,26.3,50.47
2024-10-15T11:00:00,28.3,42.08
2024-10-15T12:00:00,29.7,37.56
2024-10-15T13:00:00,30.8,33.91
2024-10-15T14:00:00,31.5,31.13
2024-10-15T15:00:00,31.3,30.87
2024-10-15T16:00:00,31.1,30.41
2024-10-15T17:00:00,30.4,32.93
2024-10-15T18:00:00,29.3,35.31
2024-10-15T19:00:00,26.7,43.59
2024-10-15T20:00:00,24.7,58.05
2024-10-15T21:00:00,23.2,67.7
2024-10-15T22:00:00,22.2,74.25
2024-10-15T23:00:00,21.5,77.98
2024-10-16T00:00:00,20.8,81.41
2024-10-16T01:00:00,20.3,83.43
2024-10-16T02:00:00,19.6,87.13
2024-10-16T03:00:00,19.1,92.18
2024-10-16T04:00:00,18.8,92.74
2024-10-16T05:00:00,18.5,93.9
2024-10-16T06:00:00,18.3,94.49
2024-10-16T07:00:00,18.1,95.08
2024-10-16T08:00:00,19.1,91.6
2024-10-16T09:00:00,23.1,75.34
2024-10-16T10:00:00,25.8,62.5
2024-10-16T11:00:00,27.7,50.83
2024-10-16T12:00:00,29.3,43.18
2024-10-16T13:00:00,30.3,38.47
2024-10-16T14:00:00,31.1,35.81
2024-10-16T15:00:00,31,35.09
2024-10-16T16:00:00,30.5,35.88
2024-10-16T17:00:00,29.7,39.05
2024-10-16T18:00:00,28,46.56
2024-10-16T19:00:00,26.1,54.44
2024-10-16T20:00:00,24.3,65.81
2024-10-16T21:00:00,23,75.79
2024-10-16T22:00:00,22.1,82.6
2024-10-16T23:00:00,21.5,87.3
2024-10-17T00:00:00,21.1,90.02
2024-10-17T01:00:00,20.9,91.71
2024-10-17T02:00:00,20.6,93.42
2024-10-17T03:00:00,20.4,94.58
2024-10-17T04:00:00,20,95.15
2024-10-17T05:00:00,19.6,96.33
2024-10-17T06:00:00,19.5,95.73
2024-10-17T07:00:00,19.4,95.13
2024-10-17T08:00:00,20.4,90.54
2024-10-17T09:00:00,23,76.75
2024-10-17T10:00:00,25.7,64.07
2024-10-17T11:00:00,27.6,53.11
2024-10-17T12:00:00,28.9,46.8
2024-10-17T13:00:00,30.3,40.5
