datetime,temp,humidity
2024-10-14 00:00:00,22.3,90.11
2024-10-14 01:00:00,21.6,93.46
2024-10-14 02:00:00,20.9,95.77
2024-10-14 03:00:00,20.7,96.36
2024-10-14 04:00:00,20.5,96.36
2024-10-14 05:00:00,20.2,97.55
2024-10-14 06:00:00,20.1,97.55
2024-10-14 07:00:00,20.0,97.55
2024-10-14 08:00:00,21.3,92.3
2024-10-14 09:00:00,25.0,78.97
2024-10-14 10:00:00,27.5,68.13
2024-10-14 11:00:00,29.6,58.48
2024-10-14 12:00:00,31.1,52.03
2024-10-14 13:00:00,32.5,46.3
2024-10-14 14:00:00,33.1,42.32
2024-10-14 15:00:00,33.6,39.13
2024-10-14 16:00:00,33.2,38.53
2024-10-14 17:00:00,31.2,44.81
2024-10-14 18:00:00,28.8,53.75
2024-10-14 19:00:00,26.7,61.15
2024-10-14 20:00:00,25.0,66.79
2024-10-14 21:00:00,23.4,76.33
2024-10-14 22:00:00,22.3,84.18
2024-10-14 23:00:00,21.4,87.29
2024-10-15 00:00:00,20.5,88.31
2024-10-15 01:00:00,19.8,91.07
2024-10-15 02:00:00,19.4,91.62
2024-10-15 03:00:00,19.1,90.45
2024-10-15 04:00:00,18.8,90.43
2024-10-15 05:00:00,18.5,89.83
2024-10-15 06:00:00,18.2,89.24
2024-10-15 07:00:00,17.8,89.78
2024-10-15 08:00:00,18.6,85.93
2024-10-15 09:00:00,23.2,63.12
2024-10-15 10:00:00,26.3,50.47
2024-10-15 11:00:00,28.3,42.08
2024-10-15 12:00:00,29.7,37.56
2024-10-15 13:00:00,30.8,33.91
2024-10-15 14:00:00,31.5,31.13
2024-10-15 15:00:00,31.3,30.87
2024-10-15 16:00:00,31.1,30.41
2024-10-15 17:00:00,30.4,32.93
2024-10-15 18:00:00,29.3,35.31
2024-10-15 19:00:00,26.7,43.59
2024-10-15 20:00:00,24.7,58.05
2024-10-15 21:00:00,23.2,67.7
2024-10-15 22:00:00,22.2,74.25
2024-10-15 23:00:00,21.5,77.98
2024-10-16 00:00:00,20.8,81.41
2024-10-16 01:00:00,20.3,83.43
2024-10-16 02:00:00,19.6,87.13
2024-10-16 03:00:00,19.1,92.18
2024-10-16 04:00:00,18.8,92.74
2024-10-16 05:00:00,18.5,93.9
2024-10-16 06:00:00,18.3,94.49
2024-10-16 07:00:00,18.1,95.08
2024-10-16 08:00:00,19.1,91.6
2024-10-16 09:00:00,23.1,75.34
2024-10-16 10:00:00,25.8,62.5
2024-10-16 11:00:00,27.7,50.83
2024-10-16 12:00:00,29.3,43.18
2024-10-16 13:00:00,30.3,38.47
2024-10-16 14:00:00,31.1,35.81
2024-10-16 15:00:00,31.0,35.09
2024-10-16 16:00:00,30.5,35.88
2024-10-16 17:00:00,29.7,39.05
2024-10-16 18:00:00,28.0,46.56
2024-10-16 19:00:00,26.1,54.44
2024-10-16 20:00:00,24.3,65.81
2024-10-16 21:00:00,23.0,75.79
2024-10-16 22:00:00,22.1,82.6
2024-10-16 23:00:00,21.5,87.3
2024-10-17 00:00:00,21.1,90.02
2024-10-17 01:00:00,20.9,91.71
2024-10-17 02:00:00,20.6,93.42
2024-10-17 03:00:00,20.4,94.58
2024-10-17 04:00:00,20.0,95.15
2024-10-17 05:00:00,19.6,96.33
2024-10-17 06:00:00,19.5,95.73
2024-10-17 07:00:00,19.4,95.13
2024-10-17 08:00:00,20.4,90.54
2024-10-17 09:00:00,23.0,76.75
2024-10-17 10:00:00,25.7,64.07
2024-10-17 11:00:00,27.6,53.11
2024-10-17 12:00:00,28.9,46.8
2024-10-17 13:00:00,30.3,40.5
2024-10-17 14:00:00,30.9,37.65
2024-10-17 15:00:00,30.9,37.17
2024-10-17 16:00:00,30.5,39.02
2024-10-17 17:00:00,29.8,41.41
2024-10-17 18:00:00,28.0,48.69
2024-10-17 19:00:00,25.7,60.16
2024-10-17 20:00:00,24.0,67.43
2024-10-17 21:00:00,23.2,69.44
2024-10-17 22:00:00,22.1,76.61
2024-10-17 23:00:00,21.1,83.0
2024-10-18 00:00:00,20.3,87.74
2024-10-18 01:00:00,19.8,89.37
2024-10-18 02:00:00,19.5,90.48
2024-10-18 03:00:00,19.6,87.13
2024-10-18 04:00:00,19.4,88.22
2024-10-18 05:00:00,19.1,89.31
2024-10-18 06:00:00,18.7,90.99
2024-10-18 07:00:00,18.3,93.3
2024-10-18 08:00:00,19.2,88.2
2024-10-18 09:00:00,22.8,72.5
2024-10-18 10:00:00,25.6,61.29
2024-10-18 11:00:00,27.8,50.54
2024-10-18 12:00:00,29.3,44.01
2024-10-18 13:00:00,30.4,39.0
2024-10-18 14:00:00,30.9,35.29
2024-10-18 15:00:00,30.9,33.07
2024-10-18 16:00:00,30.6,32.13
2024-10-18 17:00:00,29.2,33.69
2024-10-18 18:00:00,27.2,38.87
2024-10-18 19:00:00,25.0,46.66
2024-10-18 20:00:00,23.2,54.77
2024-10-18 21:00:00,22.0,58.91
2024-10-18 22:00:00,20.9,63.43
2024-10-18 23:00:00,20.1,67.51
2024-10-19 00:00:00,19.5,70.98
2024-10-19 01:00:00,19.0,73.7
2024-10-19 02:00:00,18.5,75.55
2024-10-19 03:00:00,18.3,79.02
2024-10-19 04:00:00,17.9,80.51
2024-10-19 05:00:00,18.1,80.02
2024-10-19 06:00:00,18.2,79.52
2024-10-19 07:00:00,18.0,80.0
2024-10-19 08:00:00,18.3,79.02
2024-10-19 09:00:00,22.0,64.49
2024-10-19 10:00:00,25.5,49.61
